NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
The Organic World,+(91)9152156517,4.2,365,"No.58, 15th Cross, 2nd Phase, Jp Nagar, Bangalore - 560078, Near Dilli Chaat Wallah",Bangalore,Grocery Stores
Ayur Herbals,+(91)9152278096,4.7,5,"No. 132, 11th Cross, Temple Road, Malleswaram, Bangalore - 560003, Opposite Relaince Trends",Bangalore,Grocery Stores
Mahesh Provision,+(91)08022352352,4.4,44,"No.227, Aklu Complex, R T Street, Chickpete, Bangalore - 560053",Bangalore,Grocery Stores
Organic Valley,+(91)8041532916,4.2,58,"No.26, 3rd Main, Ganesha Temple Street, Kammanahalli, Bangalore - 560084, Near Sukh Sagar Hotel",Bangalore,Grocery Stores
Suggi Naturals,+(91)9152258858,4.6,188,"No 1587,, 21st Main, Banashankari 1st Stage, Bangalore - 560050, Near Udupi Upahar",Bangalore,Grocery Stores
Yuga Food Products,+(91)9152632167,4.0,2,"No.1910/4, 8th A Cross,6th Main,HAL 3rd Stage, New Thippasandra, Bangalore - 560075, Murugan Temple Road Near SSRVM School",Bangalore,Grocery Stores
New Mangalore Stores,+(91)9152109248,5.0,3,"No 117, 2nd Main Road Ittamadu, Banashankari 3rd Stage, Bangalore - 560085, Opp to Bescom Office,3rd Phase",Bangalore,Grocery Stores
Organic Eraa,+(91)8043046619,4.4,48,"No.6, Old No.361, Ground Floor, 16th Main Road, Jayanagar 4th T Block, Bangalore - 560041, Near Ample Mart",Bangalore,Grocery Stores
Organisch ( A Complete Orga..,+(91)9900595213,3.2,3,"# 47 , Sahaj Nivas, Haralur Road , Ambalipura, HSR Layout, Bangalore - 560102, Opposite to Fisherman's Warf Restaurant",Bangalore,Grocery Stores
Earth & Organics,+(91)8660124068,4.6,63,"#770, 10th Main 34th Cross, Jayanagar 4th Block, Bangalore - 560011, Near Lacasa Hotel",Bangalore,Grocery Stores
Ameya Ecoselect,+(91)08028483078,4.6,35,"No 8,Kanasu, 80 Feet Road, Kengeri Satelite Town, Bangalore - 560060, Near National Public School",Bangalore,Grocery Stores
Organisch ( A Complete Orga..,+(91)9900595213,3.2,3,"# 47 , Sahaj Nivas, Haralur Road , Ambalipura, HSR Layout, Bangalore - 560102, Opposite to Fisherman's Warf Restaurant",Bangalore,Grocery Stores
Roshni Organic Store,+(91)9844458486,3.6,368,"Roshan Organic Store, Ayyappa Layout, Marathahalli, Bangalore - 560037, Nandhini Dairy",Bangalore,Grocery Stores
AB Supermarket,+(91)9880758313,3.9,334,"No 12, Evergreen Layout, Byrathi, Bangalore - 560077, Near to RK Gowtham College",Bangalore,Grocery Stores
Namdhari Agro Fresh Pvt Ltd,+(91)08023541521,4.0,267,"No 573, 2nd Main Road, Rt Nagar, Bangalore - 560032, Below Cafe Coffee Day, 2nd Block",Bangalore,Grocery Stores
Nammura Organic And Natural..,+(91)08043709233,4.4,248,"No.252/1, Sanjaynagar, Sanjay Nagar, Bangalore - 560094, Opposite RMV Hospital",Bangalore,Grocery Stores
Pure And Sure Organic Store,+(91)9900039403,4.3,188,"#43, 27th Cross, 7th Main, Jayanagar 4th Block, Bangalore - 560011, Opp Boots Bazar",Bangalore,Grocery Stores
Green City Super Market,+(91)08041234656,4.0,120,"No 23, Ahmed Sait Road,, Frazer Town, Bangalore - 560005, Near Moore Market",Bangalore,Grocery Stores
Casio Home Needs,+(91)08025487165,3.7,115,"No.57/60, Mosque Road, Frazer Town, Bangalore - 560005, Opposite to Empire Hotel",Bangalore,Grocery Stores
House Of Harvest,+(91)9986864652,4.8,109,"No.5 & 6, Chinmaya Mission Hospital Road, Indira Nagar 2nd Stage, Bangalore - 560038, Kanti Sweets",Bangalore,Grocery Stores
Dharitri Organic & Mangalor..,+(91)9995115935,4.6,100,"#311, Hrbr Layout 1st Block, 9th Main, HRBR Layout, Bangalore - 560043, Opposite Twinkle Kids Clinic",Bangalore,Grocery Stores
The Organic World,+(91)8043009626,4.4,100,"4th Block, 100ft Road, Koramangala, Bangalore - 560034",Bangalore,Grocery Stores
Mohan Bhandar Departmental ..,+(91)8023343135,3.9,88,"No.89, 11th Cross, Sampige Road, Malleswaram, Bangalore - 560003, Opp.Maiyas Hotel",Bangalore,Grocery Stores
Parisara Organic Junction,+(91)08023468881,4.2,84,"No.51, 7th Cross,, Malleswaram, Bangalore - 560003, Behind Prashanthi Ayurvedic Centre, Between Margosa Road & Sampige Road",Bangalore,Grocery Stores
The Organic Valley,+(91)9980668877,4.3,82,"#849/3, Sahakarnagar,60ft Road,A Block, Sahakara Nagar, Bangalore - 560092, Near Vodafone Store",Bangalore,Grocery Stores
24 Mantra Organic Form Shop,+(91)9945161723,4.1,71,"# 32, 18th Cross, 8th Main, Malleswaram West, Bangalore - 560055, Near By Coffee Day",Bangalore,Grocery Stores
Coffee Naada Siri,+(91)8028608080,4.0,63,"#448, 1st Cross, Rajarajeshwari Nagar, Bangalore - 560098, Adjacent to Rooshan Apartment",Bangalore,Grocery Stores
Sri Sai Organics,+(91)8660135495,4.3,61,"Shop No 4 & 5 , # 49 C, Chenamma Choutry Road, Sanjay Nagar, Bangalore - 560094, Near Akai Public School Road",Bangalore,Grocery Stores
Organic Mandya,+(91)9108074728,4.2,60,"Sai Arcade, Ground Floor, 9th Cross, Ananth Nagar 2nd Phase, Kammasandra, Electronic City, Bangalore - 560100, Opp to J J Hospitals",Bangalore,Grocery Stores
Lumiere Organic Store,+(91)9343233314,3.7,60,"14/2, Chikkanayakanahalli, Bengaluru, Sarjapur Main Road, Kaikondrahalli, Bangalore - 560035",Bangalore,Grocery Stores
Malnaad Fresh,+(91)8023622333,4.5,58,"No 137, 60 Feet Road,Cqal Layout, Sahakara Nagar, Bangalore - 560092, Near Allahabad Bank",Bangalore,Grocery Stores
Pristine Organics Pvt Ltd,+(91)8043438484,4.0,54,"No.839, 3rd Floor, A Block, Sahakara Nagar, Bangalore - 560092",Bangalore,Grocery Stores
