NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Suggi Naturals,+(91)9152258858,4.6,188,"No 1587,, 21st Main, Banashankari 1st Stage, Bangalore - 560050, Near Udupi Upahar",Bangalore,Grocery Stores
Village Hypermarket,+(91)9152655636,4.0,5903,"No 1381/100/93, Neeladri Nagar,Doddathoguru Village, Electronic City Phase 1, Bangalore - 560100, Opposite Ajmera Infinity",Bangalore,Grocery Stores
The Organic World,+(91)9152156517,4.2,365,"No.58, 15th Cross, 2nd Phase, Jp Nagar, Bangalore - 560078, Near Dilli Chaat Wallah",Bangalore,Grocery Stores
Yemkay Supermarket,+(91)9152323622,4.0,705,"No.173/A, 50 Feet Road,2nd Block Hanumanth Nagar, Banashankari 1st Stage, Bangalore - 560050, Near PES College",Bangalore,Grocery Stores
Om Super Market,+(91)8027844999,4.8,3,"Sri Vinayaka Complex, Sarjapura Road, Attibele, Bangalore - 562107, Opposite to Bescom",Bangalore,Grocery Stores
Village Hypermarket,+(91)9152690558,4.1,5,"Ground Floor No. 84/4 Sky Wards Sun Park Building, Neeladri Main Road, Electronic City Phase 1, Bangalore - 560100, Opposite to Wipro Gate No. 15",Bangalore,Grocery Stores
Maha Bazaar,+(91)9152370199,4.1,1616,"No.2, Devasandra, New Bel Road, Bangalore - 560054, Opposite TCL Showroom, Near Devasandra Bus Stop",Bangalore,Grocery Stores
Sri Chamundeshwari Traders,+(91)9152497935,3.1,4,"No.2, 2nd Cross, Nanjappa Garden, Babusapalya, Kalyan Nagar, Bangalore - 560043, Opp Gokul Bakery,Bescom Office",Bangalore,Grocery Stores
Lakshmi Venkateshwara Trade..,+(91)9152902252,3.8,56,"No.6, 5th Main,Apmc Yard, Yeshwanthpur, Bangalore - 560022",Bangalore,Grocery Stores
Mahesh Provision,+(91)08022352352,4.4,44,"No.227, Aklu Complex, R T Street, Chickpete, Bangalore - 560053",Bangalore,Grocery Stores
Mahesh Provision,+(91)08022352352,4.4,44,"No.227, Aklu Complex, R T Street, Chickpete, Bangalore - 560053",Bangalore,Grocery Stores
West End Shop,+(91)9152219692,3.8,7,"No.14, Dvg Rd, Basavanagudi, Bangalore - 560004",Bangalore,Grocery Stores
Ashwini Traders,+(91)9152356912,4.1,11,"B Block, New APMC Yard, Yeshwanthpur, Bangalore - 560022",Bangalore,Grocery Stores
Madeena Supermarket,+(91)9152322594,4.2,545,"No.11, Saunders Road, Frazer Town, Bangalore - 560005, Near Coles Park",Bangalore,Grocery Stores
Grace Hyper Mart,+(91)9152453053,3.8,8,"No 72, Christian College Road, Horamavu Agara, Bangalore - 560043, Near Saptagiri Apartment",Bangalore,Grocery Stores
