NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Jannath Mini Mart,+(91)9152860729,5.0,2,"No,55, Kamarajsalai, Chinnasekkadu, Kamaraj Salai, Kodungaiyur, Chennai - 600118",Chennai,Grocery Stores
Jsl Provision,+(91)9152197021,4.5,1,"Plat No:1G2, Shri Arunachala Nagar, Mitnamalli, Avadi IAF, Chennai - 600055, Ari Force Stion",Chennai,Grocery Stores
Tirya Organic World,+(91)9152332817,4.0,7,"No 25/1, SSR Pankajam Road, Saligramam, Chennai - 600093, Behind SSR Pankajam Theatre",Chennai,Grocery Stores
New Jayalakshmi Store,+(91)9152199085,4.6,10,"No 29/12, South Usman Road, T Nagar, Chennai - 600017, Opposite bus depo",Chennai,Grocery Stores
Sri Angala Eswari Stores,+(91)9152922467,3.5,2,"3/4 East Kalmandabam Road, E Kal Mandapam Road, Royapuram, Chennai - 600013, Near Kalmandabam Policestation Back Side",Chennai,Grocery Stores
MKS Super Market,+(91)9152563792,5.0,1,"No.67C, North Park Street, Ambattur, Chennai - 600053, Near Ambattur Ot Bus Terminus",Chennai,Grocery Stores
Bhagawathi Provision Store,+(91)9152783759,3.5,2,"No.193, Amman Koil Street, Seven Wells, Chennai - 600001",Chennai,Grocery Stores
Amuthini Oil Mill,+(91)9152313299,4.2,10,"No 120, Arcot Road, Virugambakkam, Chennai - 600092, Near Virugambakkam Old Register Office and BM Jewellers, Santhoshi Matha Temple, Virugambakkam Marke",Chennai,Grocery Stores
Jaijosh Food Materials Deli..,+(91)9152438604,4.1,166,"No 17,, Om Sakthi Nagar, Porur, Chennai - 600116, Near Porur Bypass Tollgate",Chennai,Grocery Stores
Gnana Villas Ccii,+(91)9152491945,4.3,2,"No 26, Bharathwajar Street, Tambaram East, Chennai - 600059, Near Gandhi Park",Chennai,Grocery Stores
Gnana Villas Ccii,+(91)9152491945,4.3,2,"No 26, Bharathwajar Street, Tambaram East, Chennai - 600059, Near Gandhi Park",Chennai,Grocery Stores
Amuthini Oil Mill,+(91)9152313299,4.2,10,"No 120, Arcot Road, Virugambakkam, Chennai - 600092, Near Virugambakkam Old Register Office and BM Jewellers, Santhoshi Matha Temple, Virugambakkam Marke",Chennai,Grocery Stores
SAVE N JOY Supermarket,+(91)9152313259,4.0,69,"NO : 1/111, East Coast Road, Injambakkam, Chennai - 600115, Opp to VGP Matriculation School",Chennai,Grocery Stores
Pasumai Natural Agro Produc..,+(91)9152301210,3.5,2,"R-17, Shop No. 3,, TNHB Complex, School Road, Anna Nagar West, Chennai - 600101, Opposite to Kovai Pazhamudir , Near Thirumangalam Police Station",Chennai,Grocery Stores
Bhanu Grocery Store,+(91)4448501613,4.4,9,"No 3, Dr Ambedhkar Road, Radha Nagar, Medavakkam, Chennai - 600100, Relince Degiel Showroom",Chennai,Grocery Stores
Vidhu Super Market,+(91)7448606301,4.8,28,"495, Pasupathy Street, Nazarethpettai, Chennai - 600123, Near Muthoot Finance",Chennai,Grocery Stores
Siva Supermarket,+(91)4426505365,4.4,164,"No 72, Srinivasa Nagar 5th Cross Street, Kolathur, Chennai - 600099, Near Vijaya Bank",Chennai,Grocery Stores
RAJA Supermarket,+(91)4426862323,3.5,2,"NO 91, REDHILLS ROAD,PUDUR, Ambattur, Chennai - 600053, PUDUR BUS STOP",Chennai,Grocery Stores
Hr Daily Fresh,+(91)4448581568,2.9,4,"No 1, Murugappa Street, Purasawalkam, Chennai - 600084, Opposite Road to Aavin",Chennai,Grocery Stores
Big Bazaar (Express Avenue ..,+(91)04428464311,4.1,8375,"No 49/50 L, Express Avenue Mall, Basement 1, Ellis Road, Royapettah, Chennai - 600014, Opposite Melody Cinema Hall, Near Woodlands Cinemas",Chennai,Grocery Stores
Latta Super Market,+(91)4422433444,4.2,2680,"No 6, Dhandeeswaram Main Road, Velacheri, Chennai - 600042, Near Velachery Market",Chennai,Grocery Stores
Arush Retail Mart,+(91)9884523000,4.2,2450,"No 1, Mugalivakkam, Chennai - 600125, Madhanandhapuram,Guruswamy Nagar Extension",Chennai,Grocery Stores
Nilgiris Supermarket,+(91)04426162133,4.0,1466,"No 24/1, 2nd Avenue, Anna Nagar West, Chennai - 600101, Near Thirumangalam Water Tank, Thirumangalam",Chennai,Grocery Stores
The Nilgiris,+(91)9677222182,3.9,1329,"5/353a, Okkiyampet, Thuraipakkam, Old Mahabalipuram Road, Chennai - 600097, Oppsite Cts",Chennai,Grocery Stores
Heritage Foods Ltd,+(91)9362716078,3.7,1130,"Flat No 1/2, No 149, Ground Floor, Perumbakkam Village Main Road, Perumbakkam, Chennai - 600100, Puthunagar Bus Stop",Chennai,Grocery Stores
Muthu Super Market,+(91)4422760325,4.1,1106,"No 703, Mudichur Main Road, Tambaram West, Chennai - 600045, Opposite More Super Market, Jothi Nagar",Chennai,Grocery Stores
Reliance Fresh,+(91)4443539654,3.9,1067,"Old No 24, Raja Annamalai Road, Purasawalkam, Chennai - 600084, Near Sri Krishna Sweets Near Hotel Tass Prakash",Chennai,Grocery Stores
Reliance Fresh,+(91)4443528503,3.8,990,"No 159/61, M S Koil Street, Royapuram, Chennai - 600013, Near Vasanth & Co",Chennai,Grocery Stores
Bharatham Store,+(91)04424801118,4.1,954,"No 366, Arcot Road, Vadapalani, Chennai - 600026, Near Hotel Saravana Bhavan",Chennai,Grocery Stores
Nilgiris Supermarket,+(91)4445550150,4.2,951,"No 87/1, Millers Road, Kilpauk, Chennai - 600010, Near Motcham Theatre",Chennai,Grocery Stores
Santhosh Hyper Market,+(91)9840862233,4.3,879,"No 194, Medavakkam Main Road, Adambakkam, Chennai - 600088, Near Old Jayalakshmi Theatre",Chennai,Grocery Stores
Grace Super Market,+(91)4424841224,4.1,872,"No 8 B, Lakshmi Laya Apartments, Ground Floor, Dr Ambedkar Road, Kodambakkam, Chennai - 600024, Near Power House",Chennai,Grocery Stores
Nilgiris Supermarket,+(91)4442139840,4.1,864,"No 1, Krishnama Road, Nungambakkam, Chennai - 600034, Behind Taj Hotel",Chennai,Grocery Stores
GRACE SUPER MARKET,+(91)04424743659,4.1,823,"No 24, 10th Avenue, Ashok Nagar, Chennai - 600083, Near Adyar Bakery",Chennai,Grocery Stores
Latha Super Bazaar,+(91)4422770140,4.1,811,"No.248/2a, Velachery Main Road, Medavakkam, Chennai - 600100",Chennai,Grocery Stores
Alice Family Mart,+(91)4426345566,3.9,804,"No:7, Thiruninravur, C.T.H Road, Chennai - 602024",Chennai,Grocery Stores
Yellow Bell,+(91)9841928884,3.9,771,"No 2/402, Perumbakkam Main Road, Perumbakkam, Chennai - 600100, Opposite Global Hospital, Vijay Nagar",Chennai,Grocery Stores
Bombay General Stores,+(91)4428142660,4.3,756,"New No 14 Old No 28, Duraiswamy Road, T Nagar, Chennai - 600017, Near Duraiswamy Subway",Chennai,Grocery Stores
