NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Avm Sweet Bakers And Pazham..,+(91)9152377782,4.3,7,"131, Nava India Road, Peelamedu, Coimbatore - 641004, Opposite to Pricol Apartment",Coimbatore,Grocery Stores
Sri Pradeepa Arisi Mundy,+(91)9152579152,3.5,2,"No.2/1, Gandhinagar, Udayampalayam, Coimbatore - 641049, Near Gandhinagar Bus Stop",Coimbatore,Grocery Stores
A Rangaswamy Chettiar Sons ..,+(91)9152357124,4.4,1436,"Old No 474 New No 108, D B Road, RS Puram Coimbatore, Coimbatore - 641002, Opposite Nilkamal At Home",Coimbatore,Grocery Stores
Shree Pazhamudir JSR Super ..,+(91)9152656348,4.8,7,"No 594 , Obli Towers, DB Road, RS Puram Coimbatore, Coimbatore - 641002, Near Tower",Coimbatore,Grocery Stores
G Organics Store,+(91)9152136676,5.0,10,"No 65, (Old No 30), East Lokamanya Street, RS Puram Coimbatore, Coimbatore - 641002",Coimbatore,Grocery Stores
Sakthi Pazhamudhir Nilayam,+(91)9152645986,4.3,8,"2258, Trichy Road, Ondipudur, Coimbatore - 641016, Near St.joshep Church",Coimbatore,Grocery Stores
Dorais Singh Stores,+(91)9152332573,4.2,119,"No 1038 New No 126, Cross Cut Road, Gandhipuram Coimbatore, Coimbatore - 641012",Coimbatore,Grocery Stores
Kasthuri Super Store pvt Lt..,+(91)4222666970,3.9,457,"No 237, Sathy Main Road, Saravanampatti, Coimbatore - 641035, Saravanampatti Juntion",Coimbatore,Grocery Stores
Annai Pazhamudir Nilayam Su..,+(91)9152597281,2.7,3,"No 16B, Bharathi Colony, Peelamedu, Coimbatore - 641004, Near SO Bank",Coimbatore,Grocery Stores
Spice Queen Trading Company,+(91)9152615323,5.0,1,"No 13, Aerodrome Road, Singanallur, Coimbatore - 641005",Coimbatore,Grocery Stores
Amirtham Pazhamudhir Super ..,+(91)9943018404,4.1,14,"7/122 Keernatham Road, Saravanampatti, Coimbatore - 641035, Opposite to It Park",Coimbatore,Grocery Stores
Priyam Super Market,+(91)7092379105,4.1,67,"No 3, Vilankurichi Road, Saravanampatti, Coimbatore - 641035, Senthottam",Coimbatore,Grocery Stores
Sri Amutham Pazhamudir Depa..,+(91)7708473122,4.9,18,"406, Selva Complex, Hopes, Coimbatore - 641004, Near Manish Teater",Coimbatore,Grocery Stores
Devapaul Supermarket,+(91)4222666910,4.5,118,"160, Devapaul Complex, Sitra Road, Kalapatti, Coimbatore - 641048, Guru Saran CBSC School",Coimbatore,Grocery Stores
Big Bazaar (Unitea Mall),+(91)04224983535,4.0,5902,"Unitea Mall, No 3, Ground Floor & 1st Floor, Savithri Shanmugam Road, Coimbatore Racecourse, Coimbatore - 641018, Opposite Nirmala School, Sungam Depot & Race Course Income Tax Office",Coimbatore,Grocery Stores
D - Mart Coimbatore,+(91)4222598764,4.2,3008,"127 A, Esi, Varadharajapuram, Esi, Varadharajapuram, Kamarajar Road, Uppilipalayam, Coimbatore - 641015",Coimbatore,Grocery Stores
