NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
A 1 Super Market,+(91)9152337463,4.0,14,"Surya Nagar ,, Ahilyabai Holkar Road, Vikhroli West, Mumbai - 400083, Opposite Shiv Sena Office, Sambhaji Chowk",Gujarat,Grocery Stores
A P Mani Super Market Pvt L..,+(91)9152393707,4.1,284,"Shop No 2,4 & 5, Parekh Building, N G Acharya Marg, Chembur East, Mumbai - 400071, Opposite Hotel Ornament",Gujarat,Grocery Stores
Laxmi Dry Fruits  General S..,+(91)9152271883,4.7,9,"Plot No 52, Shop No 5, Chandan Apartment, Ambernath South, Thane - 421501, Opposite Bule Dart",Gujarat,Grocery Stores
Jai Kuvarka Stores,+(91)9152878133,4.1,15,"Gala No 12, Modern Society, Tilak Nagar, 90 Feet Raod, Sakinaka, Mumbai - 400072, Opposite  Dilshad Hotel",Gujarat,Grocery Stores
Quality Center,+(91)9152410752,3.9,13,"Shop No 1, I C Residency,, IC Colony, IC Colony-Borivali West, Mumbai - 400103, Opposite to Citizen Co Op Bank",Gujarat,Grocery Stores
Sai Krupa General Store,+(91)9152207545,3.5,2,"Sadguru Sahili, Shop Number 4 ,, Sabe Road, Diva, Thane - 400612, Near Vithal Mandir,",Gujarat,Grocery Stores
Rakhangi General Stores Nx,+(91)9152381092,4.0,134,"Plot No 2, Kakad Estate, R G Thadani Marg, Worli, Mumbai - 400018",Gujarat,Grocery Stores
Chhaya Super Market,+(91)9152716719,5.0,2,"Shop No 7/8 Building Patakar Plaza, Patake Cross Road, Dombivli East, Thane - 421201, Near Chandu Palace",Gujarat,Grocery Stores
Mumbai Mart,+(91)9152332005,4.8,20,"Shop No 12 Akansha Heights Opp Sai Service Station Gandhi Nagar, D S Road, Worli, Mumbai - 400018, Wellcare Pharmacy & More",Gujarat,Grocery Stores
Eden Super Bazar,+(91)9152944699,5.0,1,"Atelier Retail Bldg Ground Floor, Saket Complex Road, Thane West, Thane - 400601, RUSTOMJEE URBANIA",Gujarat,Grocery Stores
