NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Sumer Chand Tara Chand,+(91)9152303132,3.8,29,"Shop No-68/3, Sadar Bazaar, Basai Road, Gurgaon - 122001, Near Zevar Mahal",Gurgaon,Grocery Stores
Om Shivay Kirana Store,+(91)9152783343,3.5,2,"Shop.no 2, Rajiv Nagar Gurgaon, Gurgaon - 122001, Near . Siv Mandir Chowk",Gurgaon,Grocery Stores
Max Super Marche,+(91)9818950767,4.3,39,"A-7, Krishna Tower, Palam Vihar, Gurgaon - 122017, Near By Mahindra Aura Apartments",Gurgaon,Grocery Stores
Big Bazaar (Ambience Mall),18002662255,4.2,5892,"Lower Ground Floor, Ambience Mall, National Highway No 8, Nathupur, Gurgaon - 122002",Gurgaon,Grocery Stores
Le Marche,+(91)1242806019,4.2,1764,"SG 105 & 107, Dlf City Phase 4, Gurgaon - 122002, Galleria Market, Near Dlf City Club",Gurgaon,Grocery Stores
Le Marche,+(91)1244898450,4.1,1274,"23, Upper Ground Floor, South Point Mall, Golf Course Road, Dlf City Phase 5, Gurgaon - 122002, Near Genpact",Gurgaon,Grocery Stores
Easy Day Express,+(91)01244666555,3.8,1043,"SCO 69 & 70, Huda Market Road, Gurgaon Sector 10a, Gurgaon - 122001, Sector 10 A Market",Gurgaon,Grocery Stores
Variety Store,+(91)9152116551,4.2,15,"Shop No-5 & 6, D-Block Market, South City 2, Gurgaon - 122018",Gurgaon,Grocery Stores
Big Mart Retail Solutions P..,+(91)9152294401,3.8,180,"20 A 1, Old Mehraulii Road, Palam Colony, Delhi - 110045, Raj Nagar Part II",Gurgaon,Grocery Stores
The Vital Mart,+(91)1149281960,4.3,28,"G-1,2 Pankaj Arcade Plot No.5, Pocket-4, Dwarka Sector 11, Delhi - 110075",Gurgaon,Grocery Stores
Pooja Super Mart,+(91)7011548375,3.8,3,"K/577,, Ramesh Singh Complex, Mahipalpur, Delhi - 110037, Near Grls Mcd School",Gurgaon,Grocery Stores
Pallavi Foods Chain Complet..,+(91)8826292627,4.5,11,"D-64 Qutub Vihar Phase-2, Gali No-5 Taj Pur Road, Tajpur Khurd, Delhi - 110071, Hanuman Chowk",Gurgaon,Grocery Stores
Mehta Enterprises,+(91)1244037633,3.5,2,"G-103, Sapphire  83 Mall, Gurgaon Sector 83, gurgaon - 122004, Near Inox",Gurgaon,Grocery Stores
Balaji Trading Company,+(91)9210346175,4.9,12,"RZ-172, Gali No-4, Vaishali Colony, Dabri, Delhi - 110045, Backside Jindal Public School",Gurgaon,Grocery Stores
Dev Super Mart,+(91)8860693385,3.8,55,"New Town Heights, Dlf, Gurgaon Sector 86, gurgaon - 122051",Gurgaon,Grocery Stores
Aggarwal Super Mart,+(91)1141043299,4.1,1026,"A-3/86,87, Mota Singh Road, Janakpuri, Delhi - 110058, Near St Francis School",Gurgaon,Grocery Stores
Bakington The Pastry Shop,+(91)1145066550,4.2,1968,"A 3/230, Janakpuri, Delhi - 110058, Opposite St Francis School",Gurgaon,Grocery Stores
Daily Needs,+(91)1141745500,4.0,822,"45,Corner Market, Malviya Nagar, Delhi - 110017",Gurgaon,Grocery Stores
Csd Food Bazaar,+(91)9971377480,4.3,53,"336 Kakrolla Housing Complex, Dwarka More, Delhi - 110059, NEAR Metro Pillar No.789",Gurgaon,Grocery Stores
Kendra Bhandar,+(91)9999208399,4.2,13,"West Krishna Vihar, Main Khira Road, Najafgarh, Delhi - 110043, Near Vanshikha Gander",Gurgaon,Grocery Stores
Jain Confectionery & Import..,+(91)9152329222,3.8,41,"Shop Number 266, INA Market, Delhi - 110022, Opposite Delhi Hart",Gurgaon,Grocery Stores
Garg Store,+(91)9152195709,4.3,429,"SHOP NO 19/2 Yusuf, Aurobindo Marg, Yusuf Sarai-Green Park, Delhi - 110016, Near Metro Station Gate No 4",Gurgaon,Grocery Stores
Grocery Fresh,+(91)7011848560,3.0,7,"81, Masjid Moth Village, Masjid Moth Road, South Extension 2, Delhi - 110049, Near Masjid",Gurgaon,Grocery Stores
Jangid Patanjali Store,+(91)9999205908,4.3,11,"Shop No - 362 , D Block, Gali N - 4, Sangam Vihar, Delhi - 110080, Near Batra Hospital",Gurgaon,Grocery Stores
Sethi Atta Chaki Laxmi Gene..,+(91)7982622759,4.1,14,"Shop No. 41, Old Market, Tilak Nagar, Delhi - 110018, Near Geeta Bhawan Mandir",Gurgaon,Grocery Stores
Modern Bazaar,+(91)9152478089,4.0,842,"47, North Avenue, Club Road, Punjabi Bagh, delhi - 110026",Gurgaon,Grocery Stores
Daily Delite,+(91)9152428108,4.0,225,"Building No. 98, F Block,Central Market, Kirti Nagar, Delhi - 110015",Gurgaon,Grocery Stores
New Amit Bakers,+(91)01125157622,4.1,114,"3/14 A, Main Market, Moti Nagar, Delhi - 110015, Near Fun Cinema",Gurgaon,Grocery Stores
