NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Mahadev Kirana And General ..,+(91)9152237069,3.5,2,"Plot No 305, TNGO'S COLONY, Financial District, Qcity, Gachibowli, Hyderabad - 500032, Near My Home Vihanga",Hyderabad,Grocery Stores
Krushi Natural Foods,+(91)9152170717,5.0,4,"Shop No 1, Cine Planet Beside Lane, Kompally, hyderabad - 500014, Beside Cine Planet Lane & Beside KVR Convention Circle",Hyderabad,Grocery Stores
Slns Milk Point,+(91)9152194756,3.5,2,"Shop No 8-3-977/8/6/B, Sri Nagar Colony, Hyderabad - 500073, Near HP Gas Godown",Hyderabad,Grocery Stores
Mahalaxmi Kirana & General ..,+(91)9152881442,3.0,3,"Shop No. 8-5-77, Mallikarjuna Colony X Road, Old Bowenpally-Bowenpally, Hyderabad - 500011, Opp. Lucky Homes",Hyderabad,Grocery Stores
Prem Natural Foods,+(91)9154404666,3.9,9,"As Rao Nagar, Ecil, Hyderabad - 500062, Near Radhika Theatre, Moula Ali Road",Hyderabad,Grocery Stores
Adwika Foods,+(91)9152172182,2.4,7,"House No 1-5-5055/2/3, Balaiah Nagar SAI Baba Nagar, Alwal, Hyderabad - 500010",Hyderabad,Grocery Stores
Kushal Stores,+(91)9152921248,4.0,7,"Door No 7-1-729, Shaa Misrilal Building, Market Street, Secunderabad, hyderabad - 500003, Oppoiste Sholapur Sweets, Near Rajeshwari Talkies",Hyderabad,Grocery Stores
Sri G Ramachander Dry Fruit..,+(91)7207447440,3.2,3,"# 2-2-1123/8, Railway Bridge Road, New Nallakunta, Hyderabad - 500044, Opposite to SS Motors",Hyderabad,Grocery Stores
Big Bazaar,+(91)4066909870,3.9,16654,"Door No 12-13-96, Saadath Plaza, Main Road, Tarnaka, Hyderabad - 500007, Near New Flyover, Opposite Aradhana Theatre",Hyderabad,Grocery Stores
Metro Cash & Carry India Pv..,18602662010,4.1,13842,"Door No 5-7-71/4/1, Main Road, Kukatpally, Hyderabad - 500072, Near Survey No 133 to 140, Near Traffic Police Station, Balanagar",Hyderabad,Grocery Stores
Big Bazaar,+(91)04042607039,4.0,11114,"Shop No 4-1-833, Maheshwari Palace Mall, Main Road, Abids, Hyderabad - 500001, Opposite General Post Office",Hyderabad,Grocery Stores
