NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Snehika Grocery,+(91)9152950089,3.9,4,"1/13, First Floor, Vinamra Khand, Gomti Nagar, Lucknow - 226010, Opposite Kotak Mahindra Bank,Near Kathauta Chauraha",Lucknow,Grocery Stores
3 MG Enterprises,+(91)9455941503,4.5,1,"Pratap Plaza, Sugamau Road, Indira Nagar Lucknow, Lucknow - 226016, Near City Complex",Lucknow,Grocery Stores
1 Stop Grocery,+(91)9152947942,4.9,9,"967/5 Sec-A,, Indira Nagar, Indira Nagar Sector 14, Lucknow - 226016, Near Romeo Pizza",Lucknow,Grocery Stores
Day To Day Mart,+(91)9152195892,3.5,2,"643/97 G Nayak Nagar, Sitapur Rd, Sitapur Rd, Lucknow - 226021, Shalimar Apartment",Lucknow,Grocery Stores
A One Mega Mart,+(91)9152633447,2.8,2,"A one mega mart, Bangla Bazar petrol pump road, Aashiyana, Lucknow - 226012, Near Bangla Bazar petrol pump",Lucknow,Grocery Stores
Shree Keshav Store,+(91)9152692350,4.5,22,"506, Lekhraj Dollar, Faizabad Road Bhootnath, Indira Nagar, Lucknow - 226016, Near Gazipur Thana",Lucknow,Grocery Stores
Bose Supermart,+(91)8874664358,4.4,58,"Shop No 46, Kursi Road, Jankipuram, Lucknow - 226021, Near City Club",Lucknow,Grocery Stores
Apna Family Store,+(91)9554528484,3.5,81,"374 A, Eden Enclave, Gudamba, Kursi Road, Behta Kursi Road, Lucknow - 226026",Lucknow,Grocery Stores
Vishal Mega Mart,+(91)7217888361,3.8,2410,"551 Jha/42 B/C, Alambagh, Lucknow - 226005, Ram Nagar",Lucknow,Grocery Stores
In & Out,+(91)5227000904,3.7,478,"Kathauta Chauraha, Petrol Pump, Picup Bhavan Road, Vinamra Khand, Gomti Nagar, Lucknow - 226010",Lucknow,Grocery Stores
Easyday Club,+(91)7080144422,3.9,353,"Aishwarya Complex, Purniya Chauraha, Sector H, Sectora, Aliganj, Lucknow - 226024",Lucknow,Grocery Stores
S L Store,+(91)5222304184,3.8,343,"4/407, Gomti Nagar, Lucknow - 226010, Vivek Khand, Near Lda Market",Lucknow,Grocery Stores
Metro Retail,+(91)9580094323,4.0,219,"Plot No1,Pandey Complex, Maharaja Agrasen Nagar Marg, Maharaja Agrasen Nagar Marg, Sitapur Road, Sitapur Rd, Lucknow - 226021",Lucknow,Grocery Stores
Jeevaniya Naturals,+(91)9076701565,3.6,204,"B17 Sector G Aliganj Purania Dandia Road, Aliganj, Lucknow - 226024, Near Kendriya Bhawan",Lucknow,Grocery Stores
Agarwal General Store,+(91)9598412435,3.8,193,"Shop No- 311/18, Kamla Nehru Marg, Lucknow Chowk, Lucknow - 226003, Near Chowk",Lucknow,Grocery Stores
Big Bazaar,+(91)05223931500,4.0,4372,"Eldee Shalimar Plaza, Indira Nagar Lucknow, Lucknow - 226016, Sector-5",Lucknow,Grocery Stores
Apna bazar,+(91)5224957070,4.1,84,"Rounak appartment, Vikas Nagar Lucknow, Lucknow - 226021",Lucknow,Grocery Stores
Arora Departmental Store,+(91)5222396234,4.2,452,"Shop No: 1 A, Vivek Khand -4, Shopping Complex, Gomti Nagar, Lucknow - 226010, Near Patrakar Puram",Lucknow,Grocery Stores
PTBI Enterprises,+(91)5224954997,4.9,73,"539 KA/6/1 ,, Laxmanpuri Gate, Indira Nagar, Lucknow - 226016, Opp Hanuman Mandir",Lucknow,Grocery Stores
Sonu Monu Generl Store & Gi..,+(91)9936703559,4.4,77,"Sultanpur Road, Cantt., Arjunganj, Lucknow - 226002",Lucknow,Grocery Stores
Vanshika Mart,+(91)7317501555,3.9,72,"B 2/145, Sec F, Highland Appartment, Sahara State Road, Jankipuram, Lucknow - 226021, ICICI BANK",Lucknow,Grocery Stores
Sahu General Store,+(91)9580553253,3.1,63,"Gulam Pul,Kashmiri Mohalla, Baraura Hussain Bari, Saadatganj, Lucknow - 226003",Lucknow,Grocery Stores
Zee Maha Sale,+(91)8687897101,3.8,43,"Sitapur Road, Khadra, Lucknow - 226002, Near-Water Tank",Lucknow,Grocery Stores
Nature Mart,+(91)7570989942,4.6,50,"C-1007, Church Road, Indira Nagar Lucknow, Lucknow - 226016",Lucknow,Grocery Stores
The Shopico,+(91)5224302092,4.4,35,"K 847, Sector K, Ashiyana, Ambika Vihar Lucknow, Lucknow - 226012",Lucknow,Grocery Stores
Galla Mandi,+(91)9305176951,3.9,36,"160, Faizabad Road , Faizabad Road, Daliganj, Lucknow - 226007, Near Umaro Dharamsala",Lucknow,Grocery Stores
True Value Shaheed Path,+(91)7800006520,3.7,104,"Awadh Vihar Yojna, Roberts Lines, Ahmamau, Lucknow - 226002",Lucknow,Grocery Stores
Easy Day Express,+(91)9528177742,4.2,33,"Plot No.2/C-68, Vikas Nagar, Vikas Nagar Lucknow, Lucknow - 226021",Lucknow,Grocery Stores
Bansal Super Store,+(91)8795090773,3.5,32,"Tushar Complex, Daliganj, Lucknow - 226020, Near Daliganj Crossing",Lucknow,Grocery Stores
Hari Om General Store,+(91)8090317994,3.4,26,"Kesripur, Daliganj, Lucknow - 226020, Near Hanuman Mandir",Lucknow,Grocery Stores
F I Family Bazar 2,+(91)5224012914,3.6,24,"Burlington Mall, 23, Vidhan Sabha Marg, Hussainganj, Lucknow - 226001, Near Ocr Building",Lucknow,Grocery Stores
Santosh General Store,+(91)9452380394,3.5,29,"aligang bazar aliganj road, Kursi road, Aliganj Bazar, Lucknow - 226022, Near Neera Nursing Home",Lucknow,Grocery Stores
SPYDER Elevators,+(91)9005667667,4.0,23,"532/190kha Mehandi Tola, Dandaiya Market Road, Aliganj, Lucknow - 226024, Near Dandaiya Hospital",Lucknow,Grocery Stores
BEST One General Store,+(91)8009344445,4.8,21,"Shop No. 01, Omaxe City Road, Arjunganj, Lucknow - 226002, Near Omaxe Hashrad Ganj",Lucknow,Grocery Stores
Dinesh Provision Store,+(91)9935321798,4.5,20,"Ahimamau, Sultanpur Road, Arjunganj, Lucknow - 226002, Near Saroj Institute",Lucknow,Grocery Stores
Goel General Store,+(91)5222611484,4.2,23,"Shop No 6 & 7, Golaganj, Lucknow - 226018, River Bank Colony  Opposite KK Hospital  NearJuge Compound",Lucknow,Grocery Stores
Arzoo Provision Store,+(91)9793710072,4.4,19,"Abdi Appartment, Gf1, Gwynne Road, 1, Golaganj, Lucknow - 226018",Lucknow,Grocery Stores
Danish Mahal,+(91)9792361533,3.8,20,"A 21, Dr. B N Verma Road , Dr. B. N. Verma Road, Kaiserbagh, La Touche Road Lucknow, Lucknow - 226018, Near Hanuman Temple",Lucknow,Grocery Stores
Satish Traders,+(91)9935626202,4.4,18,"594k/142, Nagram Road, Vijay Nagar, Nilmatha, Lucknow - 226002",Lucknow,Grocery Stores
Super Store,+(91)9839064130,3.7,28,"Khajuha, Kundari Rakabganj, Lucknow - 226003",Lucknow,Grocery Stores
Royal Super Market,+(91)8933831076,3.8,18,"Shop No-1&2, Lucknow Chowk, Lucknow - 226003, Near Sarai Mali Khan",Lucknow,Grocery Stores
Sahu General Store,+(91)9305831305,5.0,17,"86/89, Kurmi Tola, Risaaldaar Park, Makbul Ganj, Lalkuwan, Lucknow - 226001, Near Budh Mandir",Lucknow,Grocery Stores
Tiwari Gen Store,+(91)7080643436,4.5,16,"Madehgunj, Brahm Nagar Triveni Nagar,Lucknow, Triveni Nagar, Lucknow - 226020, Near Chota Durga Mandir",Lucknow,Grocery Stores
B Mart,+(91)7992055168,4.2,16,"21a, Surender Nagar, Kamta, Surendra Nagar Road, Lucknow - 226028, Opp. New High Court",Lucknow,Grocery Stores
Modi Care General Store,+(91)9916503631,3.8,13,"Sundar Bagh, Sundar Bagh, Durga Mandir, Charbagh, Lucknow - 226001",Lucknow,Grocery Stores
Maurya Ptanjali Vikray Kend..,+(91)9795538520,3.5,15,"Bazar Cant Roadtelibagh, Nilmatha, Lucknow - 226002",Lucknow,Grocery Stores
Ashirwad Store,+(91)5222300153,4.2,23,"Shop No - 3/539, Vivek Khand-3, Nealkanth Sweets Road, Gomti Nagar, Lucknow - 226010, Near Trinka Hotel",Lucknow,Grocery Stores
Maa Santoshi Enterprises,+(91)9026487789,4.2,12,"Devi Khera, V.I. P. Road, Telibagh, Lucknow - 226025",Lucknow,Grocery Stores
Shri Bala G General Store,+(91)8756356500,4.2,12,"Triveni Nagar, Lucknow - 226020, Durga mandir",Lucknow,Grocery Stores
Vidyarthi Provision Store,+(91)9335776795,3.7,12,"Wazirganj, Lp Road, Lucknow - 226018, Near Police Station",Lucknow,Grocery Stores
Pranami Store,+(91)9935383883,3.5,12,"628/C/348, Vikas Bhawan Road, Sarvoday Nagar, Lucknow - 226016, In Front Of BOI Atm",Lucknow,Grocery Stores
Gupta Patanjali Utpad Kendr..,+(91)7607146077,2.6,12,"Om Market, K Samne,Sadatganj, Churi Wali Gali, Dargah Hazrat Abbas Road, Saadatganj, Lucknow - 226003",Lucknow,Grocery Stores
Moti Ram Provision Stores,+(91)9415010424,4.2,15,"Fatehganj, Bata Showroom Aminabad Road Lucknow -226018, Aminabad, Lucknow - 226018",Lucknow,Grocery Stores
Arzoo Store,+(91)9044466484,4.1,11,"Gwynne Road, Aminabad, Golaganj, Lucknow - 226018",Lucknow,Grocery Stores
Rakhi General Store,+(91)9453484511,3.4,11,"Ahari Tala, Ahari Tala Chaupatiya, Chaupatiya, Chaupatiyan, Lucknow - 226003, Near Balaji Ghee Bhandar,Near Balaji Electronics",Lucknow,Grocery Stores
Mothers Garden,+(91)9838600001,4.8,10,"Chamber 2,1st Floor,2/109,Vishal Khand, Gomti Nagar, Lucknow - 226010, Near Ambedkar Chauraha",Lucknow,Grocery Stores
Rawats Complex,+(91)8574823159,4.4,10,"Sultanpur Lucknow Road, Arjunganj, Lucknow - 226002",Lucknow,Grocery Stores
Ms Bharat Bags Osama,+(91)7004741188,3.9,11,"Dugawan, Aminabad, Lucknow - 226018",Lucknow,Grocery Stores
