NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
A 1 Super Market,+(91)9152337463,4.0,14,"Surya Nagar ,, Ahilyabai Holkar Road, Vikhroli West, Mumbai - 400083, Opposite Shiv Sena Office, Sambhaji Chowk",Mumbai,Grocery Stores
Laxmi Dry Fruits  General S..,+(91)9152271883,4.7,9,"Plot No 52, Shop No 5, Chandan Apartment, Ambernath South, Thane - 421501, Opposite Bule Dart",Mumbai,Grocery Stores
A P Mani Super Market Pvt L..,+(91)9152393707,4.1,284,"Shop No 2,4 & 5, Parekh Building, N G Acharya Marg, Chembur East, Mumbai - 400071, Opposite Hotel Ornament",Mumbai,Grocery Stores
Mumbai Mart,+(91)9152332005,4.8,20,"Shop No 12 Akansha Heights Opp Sai Service Station Gandhi Nagar, D S Road, Worli, Mumbai - 400018, Wellcare Pharmacy & More",Mumbai,Grocery Stores
Quality Center,+(91)9152410752,3.9,13,"Shop No 1, I C Residency,, IC Colony, IC Colony-Borivali West, Mumbai - 400103, Opposite to Citizen Co Op Bank",Mumbai,Grocery Stores
Chhaya Super Market,+(91)9152716719,5.0,2,"Shop No 7/8 Building Patakar Plaza, Patake Cross Road, Dombivli East, Thane - 421201, Near Chandu Palace",Mumbai,Grocery Stores
Jai Kuvarka Stores,+(91)9152878133,4.1,15,"Gala No 12, Modern Society, Tilak Nagar, 90 Feet Raod, Sakinaka, Mumbai - 400072, Opposite  Dilshad Hotel",Mumbai,Grocery Stores
Anvayi General Stores,+(91)9152697511,4.8,10,"Plot No 9 OM Shrusti Housing Society, navi mumbai - 400706, Sector 4",Mumbai,Grocery Stores
Sai Krupa General Store,+(91)9152207545,3.5,2,"Sadguru Sahili, Shop Number 4 ,, Sabe Road, Diva, Thane - 400612, Near Vithal Mandir,",Mumbai,Grocery Stores
Eden Super Bazar,+(91)9152944699,5.0,1,"Atelier Retail Bldg Ground Floor, Saket Complex Road, Thane West, Thane - 400601, RUSTOMJEE URBANIA",Mumbai,Grocery Stores
Anvayi General Stores,+(91)9152697511,4.8,10,"Plot No 9 OM Shrusti Housing Society, navi mumbai - 400706, Sector 4",Mumbai,Grocery Stores
Janata Super Market,+(91)9152917875,4.0,26,"Shop No.925, Vangani Badlapur Highway, Vangani, Thane - 421503, Near Vangani Char Rasta",Mumbai,Grocery Stores
Arihant Traders,+(91)9152187928,4.7,27,"Bungalow - 85,, S V P Nagar, Four Bunglows-Andheri West, Mumbai - 400053, Near Jankidevi Lane, Near Mhada Last Bus Stop",Mumbai,Grocery Stores
Kamlesh Kirana Store,+(91)9152798743,3.5,2,"Khan Prerna Appartment, Shop No-2, Shivani Nagar, Golani Naka Waliv and Rajprabha Udyog Nagar, Vasai East, Palghar - 401208, Near Nidhi Industry",Mumbai,Grocery Stores
Neelkanth Mart,+(91)8454007272,4.8,2,"Jijau CHS,Shop No -1,2,Plot No -4,5,6,7, Sector-17, Kamothe, navi mumbai - 410206, Near Mansarovar  Station Road",Mumbai,Grocery Stores
Natural Food Basket,+(91)9152340627,3.6,8,"Shop No 5, Ground Floor, 109, Himalaya CHS LTD, Dr. R G Thadani Marg, Worli, mumbai - 400018, Podar Hospital",Mumbai,Grocery Stores
Gala Traders,+(91)9152106918,4.1,23,"Shop No 4, Gagangiri Building,  Plot No 47, Vashi Sector 17, Navi Mumbai - 400703, Near Abhudaya Bank Marg",Mumbai,Grocery Stores
Savla Dry Fruits,+(91)9619549631,3.6,5,"Shradha Bhavan, Station Road, Thane West, Thane - 400601, Near Vishnunagar Ghantali Chowk Naupada",Mumbai,Grocery Stores
Genu Mahadev Jadhav,+(91)2223774136,5.0,1,"Shop No 25,  New Dongri Municipal Market,, Navroji Hill Road No 2, Dongri, Mumbai - 400009, New Dongri Municipal Market",Mumbai,Grocery Stores
Mahavir Trading,+(91)9867934759,4.0,151,"Shop No 21 and 22, Merchant Center Building, Sector 19, Vashi, Navi Mumbai - 400703, Opposite Jalaram Market",Mumbai,Grocery Stores
Manilal Traders,+(91)9152279292,3.9,12,"Shop No.1, Opposite Building No.8, Tagore Nagar, Station Road, Vikhroli East, Mumbai - 400083",Mumbai,Grocery Stores
Rakhangi General Stores Nx,+(91)9152381092,4.0,134,"Plot No 2, Kakad Estate, R G Thadani Marg, Worli, Mumbai - 400018",Mumbai,Grocery Stores
Gauri Supermarket,+(91)9152884016,2.7,3,"Shubh Arcade  Plot No.22,Shop No 3,4,5, Sector  No.21, Kamothe, Navi Mumbai - 410206, Opposite Yashoda Hospital Nearby Khandeshwar Station",Mumbai,Grocery Stores
Meghsons,+(91)9152198479,4.0,487,"Marve Road, Malad West, Mumbai - 400064, Near Junction Of S V Road & Marve Road",Mumbai,Grocery Stores
Rajeshwar Super Market,+(91)9152952934,5.0,2,"Shop No.8, Bldg-24,, Ekta Nagar, Kandivali West, Mumbai - 400067, Near Atharva College",Mumbai,Grocery Stores
Jay Momai Maa Enterprises,+(91)9152221988,3.7,13,"H-27 Masala Market,, Mudibazar, Vashi, Navi Mumbai - 400703, APMC Market",Mumbai,Grocery Stores
Ghanshyam Trading,+(91)9152601827,4.5,1,"A/10, Apmc Market 2, Dana Bunder, Apmc Market Road, Vashi, Navi Mumbai - 400703, Apmc Market",Mumbai,Grocery Stores
A P Mani Super Market Pvt L..,+(91)9152393707,4.1,284,"Shop No 2,4 & 5, Parekh Building, N G Acharya Marg, Chembur East, Mumbai - 400071, Opposite Hotel Ornament",Mumbai,Grocery Stores
Kuvarji Khimraj & Company,+(91)9152851773,4.2,41,"Shop No 132 134, S V P Road, Null Bazar, Mumbai - 400003, Gol Dev Mandir (Shiv Mandir)",Mumbai,Grocery Stores
Apna Super Market,+(91)9152287811,3.8,13,"Shop No 1, Sai Avenue, Veera Desai Road, Andheri West, Mumbai - 400058, Opposite Mvm High School",Mumbai,Grocery Stores
Rajeshwar Super Market,+(91)9152952934,5.0,2,"Shop No.8, Bldg-24,, Ekta Nagar, Kandivali West, Mumbai - 400067, Near Atharva College",Mumbai,Grocery Stores
Kuvarji Khimraj & Company,+(91)9152851773,4.2,41,"Shop No 132 134, S V P Road, Null Bazar, Mumbai - 400003, Gol Dev Mandir (Shiv Mandir)",Mumbai,Grocery Stores
Jay Momai Maa Enterprises,+(91)9152221988,3.7,13,"H-27 Masala Market,, Mudibazar, Vashi, Navi Mumbai - 400703, APMC Market",Mumbai,Grocery Stores
Savla Dry Fruits,+(91)9619549631,3.6,5,"Shradha Bhavan, Station Road, Thane West, Thane - 400601, Near Vishnunagar Ghantali Chowk Naupada",Mumbai,Grocery Stores
Ghanshyam Trading,+(91)9152601827,4.5,1,"A/10, Apmc Market 2, Dana Bunder, Apmc Market Road, Vashi, Navi Mumbai - 400703, Apmc Market",Mumbai,Grocery Stores
Laxmi Chemist Medical & Gen..,+(91)2226654320,4.0,50,"Shop No 02, Golden View Apartment, Road No 2, Santacruz East, Mumbai - 400098, Near Creative Industrial Estate",Mumbai,Grocery Stores
Thane Super Market,+(91)9152226996,3.8,40,"Prayag Tirth, Veer Savarkar Marg, Naupada-thane West, Thane - 400602, Opposite Lokmanya Society",Mumbai,Grocery Stores
New Ramesh Trading Company,+(91)9152733964,4.5,11,"Shop No E 60, Vashi Apmc Market, APMC Market, Navi Mumbai - 400703, Market No:- 1, Phase:- 2",Mumbai,Grocery Stores
Naeem Masala,+(91)9152524348,3.3,8,"Shop No 23 and 24, Mirza Ghalib Market, Matka Gali, Null Bazar, Mumbai - 400003, Near Gol Deval Temple",Mumbai,Grocery Stores
