NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Mataji Traders,+(91)9152948884,3.5,2,"Shop No 2, Link Road, Chinchwad, Pune - 411033, Near Darshan Hall",Pune,Grocery Stores
Laxmi Stores,+(91)9152295876,4.4,17,"Shop No 432, Lane No 2, Gultekdi, Pune - 411037, Grain and Grocerry Market Market Yard",Pune,Grocery Stores
Omprakash Provision Stores,+(91)9152308717,4.5,2,"641, Deccan Gymkhana, Pune - 411004, Near Hotel Rutugandh",Pune,Grocery Stores
Balaji Grain House,+(91)9152856504,4.4,47,"Shop No 3/4, Wearhouse Line, Market Yard, Pune - 411037, Opposite Gultekdi Post Office",Pune,Grocery Stores
Nayan Trading Company,+(91)9152253623,4.3,33,"Survey N 14, Pune Solapur Road, Hadapsar, Pune - 411028, Near Samrat Hotel",Pune,Grocery Stores
Abhilasha Super Shoppee,+(91)9152464934,4.7,2,"Vaishnavi Ghar, Akashdeep Society Gate, Dhayri Garmal Road, Dhayari, Pune - 411041, Behind Abhiruchi Sweets",Pune,Grocery Stores
Hanuman Supermarket,+(91)9152356850,3.5,2,"Shivpuram, Charholi Phata, Pune - 412105, Near Shivpuram Building",Pune,Grocery Stores
Tirupati Dairy And Sweets,+(91)9152306686,3.5,2,"Chakan Chowk, Shikrapur, Pune - 412208, Opp Bharat Petrol Pump, Near Sai Krupa Pure Veg",Pune,Grocery Stores
Soham Traders,+(91)9152106727,3.7,20,"Survey No 60, Shop No -4 Soba Kunj Apartment, Kothrud, Pune - 411029, Opposite Yashwantrao Chavan Natyagruha Near Shivaji Statue",Pune,Grocery Stores
Anand Oil Depo,+(91)9152287194,4.0,8,"Survey No 722/4 Laxmi Park, Lal Bahadur Shastri Road, Navi Peth-sadashiv Peth, Pune - 411030, Near Sena Datta Police Chowki",Pune,Grocery Stores
Anand Oil Depo,+(91)9152287194,4.0,8,"Survey No 722/4 Laxmi Park, Lal Bahadur Shastri Road, Navi Peth-sadashiv Peth, Pune - 411030, Near Sena Datta Police Chowki",Pune,Grocery Stores
Pankaj Market,+(91)2026631364,4.3,41,"Plot No 79 Shop No 1&2 Daffodils Society, Viman Nagar, Pune - 411014, Opposite Corporation Bank",Pune,Grocery Stores
Balaji Water Suppliers,+(91)9155565656,4.5,12,"Shop No.6/7, Oxygen Valley Phase 2 Harikrupa Complex, Bakori Road, Wagholi, Pune - 412207, Opp Oxy Valley Phase 2",Pune,Grocery Stores
THE WALNUT STORE  your own ..,+(91)9767557761,4.6,5,"Shop.no.5, Shriram Yashda Building, Baner Road, Baner, Pune - 411045, Near Baner Balewadi Phata",Pune,Grocery Stores
