NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Mala Supermarket,+(91)4332263593,3.9,206,"63 /1, Madhurai Road, Manaparai, Trichy - 621305",Trichy,Grocery Stores
Ananda Super Stores,+(91)8220942444,4.5,11,"18/1,, EDA STREET, Gandhi Market, Trichy - 620008",Trichy,Grocery Stores
Bombay Essence Mart,+(91)9942428786,4.8,2,"No 99/1 C, Thiyagi Singaravelan Street, Thuraiyur, Trichy - 621010, Near Bus Stand Back Side",Trichy,Grocery Stores
Sri Vinayagar Maligai Store..,+(91)4312432205,5.0,2,"4C&5, SOUTH GATE, Srirangam, Trichy - 620006, NEAR RAJAGOPURAM",Trichy,Grocery Stores
Chinthamani Super Market,+(91)2682557280,3.7,400,"Bhel Tiruchy Township, Kailasapuram, Thiruverumbur, Tiruverambur, Trichy - 620022",Trichy,Grocery Stores
Nilgiris Supermarket,+(91)4314030334,3.9,575,"No 84C, Fort Station Road, Thillai Nagar, Trichy - 620018, Near Varasakthi Vinayagar Temple",Trichy,Grocery Stores
Kaveri Super Market,+(91)4314000799,3.8,203,"Shop No:1, Colony Main Road, Crawford Colony, Trichy - 620012, Santa Maria Matric School.-Crawford Colony",Trichy,Grocery Stores
Kumudham Department Stores,+(91)4312457457,4.2,286,"Renga Nagar, Krishna Moorthy Nagar, K.K Nagar, Tiruchirappalli, Simco Road, K K Nagar, Trichy - 620021",Trichy,Grocery Stores
Green Super Market,+(91)4332260903,4.0,232,"1/42, Rr Complex, Manaparai, Trichy - 621306, Neardindugal Bye Pass",Trichy,Grocery Stores
Kartikeyan Petti Kadai,+(91)9842480284,4.3,120,"Bhel Tiruchy Township, Kailasapuram, Thiruverumbur, B3 Sector Road, BHEL, Trichy - 620014",Trichy,Grocery Stores
Kumudham Departmental Store,+(91)4314030447,4.1,111,"Vayalur Road, Bharathi Nagar, Trichy - 620017",Trichy,Grocery Stores
Srinivasan Grocery Shop,+(91)9715335230,5.0,108,"No 225, Pillayar Kovil Street, Tiruvellerai, Trichy - 621009, Theerampalayam, Mannachanal",Trichy,Grocery Stores
